,index,Regressor,S,p-value,Sig.
0,0,CategoryID,0.1908127643504678,0.0,True
1,0,GoChoice,-0.051839796939645515,0.0114,True
2,0,Reward,-0.006914027042741437,0.6476,False
3,0,StimulusSF_0.023,0.062118783530534044,0.0,True
4,0,StimulusSF_0.027,0.11210796162324077,0.0,True
5,0,StimulusSF_0.033,0.056326400890813096,0.0,True
6,0,StimulusSF_0.06,0.042066433428496815,0.0028125,True
7,0,StimulusSF_0.1,0.014993007207572514,0.2516785714285714,False
8,0,StimulusSF_0.25,0.05589606845379605,0.0,True
9,0,StimulusORI_0,0.059841088552679556,0.0038333333333333336,True
10,0,StimulusORI_15,0.0361810537877185,0.2516785714285714,False
11,0,StimulusORI_30,0.08046179848338117,0.0,True
12,0,StimulusORI_60,0.0588871942110029,0.015272727272727273,True
13,0,StimulusORI_75,0.071448580739081,0.0002142857142857143,True
14,0,StimulusORI_90,0.0479891743270191,0.017875,True
