,index,Regressor,S,p-value,Sig.
0,0,CategoryID,0.1570336730490145,0.0,True
1,0,GoChoice,-0.020936800912966118,0.5597727272727273,False
2,0,Reward,-0.006202481552243754,0.7355,False
3,0,StimulusSF_0.023,0.08512920296607404,0.0,True
4,0,StimulusSF_0.027,0.08174057077220186,0.0,True
5,0,StimulusSF_0.033,0.06535932366391804,0.0052499999999999995,True
6,0,StimulusSF_0.06,0.014946503655529611,0.5756785714285714,False
7,0,StimulusSF_0.1,0.018200983899551902,0.5597727272727273,False
8,0,StimulusSF_0.25,0.025552520931676953,0.43150000000000005,False
9,0,StimulusORI_0,0.0816957966358453,0.0039,True
10,0,StimulusORI_15,0.03649429205164888,0.5756785714285714,False
11,0,StimulusORI_30,0.030942041910515822,0.5756785714285714,False
12,0,StimulusORI_60,0.05695016965076514,0.0015,True
13,0,StimulusORI_75,0.049035904327078245,0.4000714285714286,False
14,0,StimulusORI_90,0.03917096271364772,0.43150000000000005,False
