,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.043683762764931675,0.8211923076923077,False
1,0,GoChoice,-0.02453799175400414,0.8211923076923077,False
2,0,Reward,0.01577589427791859,0.8211923076923077,False
3,0,StimulusSF_0.023,0.013736049060130704,0.8211923076923077,False
4,0,StimulusSF_0.027,0.008594375907379702,0.8211923076923077,False
5,0,StimulusSF_0.033,0.013795741870418949,0.8211923076923077,False
6,0,StimulusSF_0.06,0.006108482834002209,0.8388214285714286,False
7,0,StimulusSF_0.1,0.025760163344394182,0.8211923076923077,False
8,0,StimulusSF_0.25,0.01005855266835575,0.8211923076923077,False
9,0,StimulusORI_0,0.004410646031326518,0.8211923076923077,False
10,0,StimulusORI_15,0.013148775424861993,0.8211923076923077,False
11,0,StimulusORI_30,0.007150023904972557,0.8211923076923077,False
12,0,StimulusORI_60,0.020113395171988152,0.8211923076923077,False
13,0,StimulusORI_75,0.007833774367404706,0.8211923076923077,False
14,0,StimulusORI_90,0.019278563259150887,0.8606,False
