,index,Regressor,S,p-value,Sig.
0,0,CategoryID,0.16089242104492935,0.0,True
1,0,GoChoice,0.027428432274619774,0.566,False
2,0,Reward,0.0041925200717565225,0.9981,False
3,0,StimulusSF_0.023,0.05300176779273147,0.006562500000000001,True
4,0,StimulusSF_0.027,0.045272602752405466,0.008833333333333334,True
5,0,StimulusSF_0.033,0.05678161099092717,0.001125,True
6,0,StimulusSF_0.06,0.059690701834147125,0.0027,True
7,0,StimulusSF_0.1,0.0439480841236187,0.0135,True
8,0,StimulusSF_0.25,0.058620110564952255,0.0034999999999999996,True
9,0,StimulusORI_0,0.027920456647632957,0.3309545454545455,False
10,0,StimulusORI_15,0.02879541098336312,0.7018846153846153,False
11,0,StimulusORI_30,0.019876610438895652,0.8788928571428571,False
12,0,StimulusORI_60,0.06920426433664761,0.001125,True
13,0,StimulusORI_75,0.07327728177407472,0.004928571428571428,True
14,0,StimulusORI_90,0.08021752553491088,0.0,True
