,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.17158639943756,0.1774,False
1,0,GoChoice,0.13599382081902464,0.235,False
2,0,Reward,0.030670996821370755,0.9739,False
3,0,StimulusSF_0.023,0.3522250910358237,0.0024,True
4,0,StimulusSF_0.027,0.5629638572106883,0.0,True
5,0,StimulusSF_0.033,0.2372667841181965,0.0319,True
6,0,StimulusSF_0.06,0.1526902719776298,0.1869,False
7,0,StimulusSF_0.1,0.024623436688201855,0.8504,False
8,0,StimulusSF_0.25,0.1399507471565019,0.2192,False
9,0,StimulusORI_0,0.1477742311160565,0.1367,False
10,0,StimulusORI_15,0.31355809423544595,0.0,True
11,0,StimulusORI_30,0.32107051142298904,0.0,True
12,0,StimulusORI_60,0.13655303388013884,0.1812,False
13,0,StimulusORI_75,0.41190908287303124,0.0,True
14,0,StimulusORI_90,0.37601740271349965,0.0,True
