,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.08629221085451447,0.5886,False
1,0,GoChoice,0.0006783151216544769,0.8471,False
2,0,Reward,0.08190306410682271,0.6128,False
3,0,StimulusSF_0.023,0.22782235425408903,0.062,False
4,0,StimulusSF_0.027,0.4250982311822392,0.0004,True
5,0,StimulusSF_0.033,0.63834722450553,0.0,True
6,0,StimulusSF_0.06,0.62773517846123,0.0,True
7,0,StimulusSF_0.1,0.21686036159601385,0.0795,False
8,0,StimulusSF_0.25,0.352408425681829,0.0047,True
9,0,StimulusORI_0,0.09611499787698777,0.4536,False
10,0,StimulusORI_15,0.053058429963187,0.8533,False
11,0,StimulusORI_30,0.10150220629230994,0.4883,False
12,0,StimulusORI_60,0.11908669299822998,0.3365,False
13,0,StimulusORI_75,0.10518481203001223,0.4797,False
14,0,StimulusORI_90,0.24732145872266822,0.0006,True
