,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.12210841902136066,0.008,True
1,0,GoChoice,-0.013898465345900961,0.5067857142857143,False
2,0,Reward,0.0037984167669388724,0.8995,False
3,0,StimulusSF_0.023,0.08222696054279954,0.00075,True
4,0,StimulusSF_0.027,0.04792327050150692,0.066375,False
5,0,StimulusSF_0.033,0.07496225178409857,0.00075,True
6,0,StimulusSF_0.06,0.03949640052022692,0.1821,False
7,0,StimulusSF_0.1,0.029509774756553073,0.2636666666666667,False
8,0,StimulusSF_0.25,0.01802333361410285,0.46938461538461534,False
9,0,StimulusORI_0,0.03488181586100391,0.39944999999999997,False
10,0,StimulusORI_15,0.05006732242203508,0.18374999999999997,False
11,0,StimulusORI_30,0.039056898336821445,0.2636666666666667,False
12,0,StimulusORI_60,0.0283220948849061,0.46938461538461534,False
13,0,StimulusORI_75,0.034574341363887845,0.46938461538461534,False
14,0,StimulusORI_90,0.042630024191619556,0.2636666666666667,False
